pool_size,actual_pool_size,repeat,tasks,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,n
10,10,13,87,0.9770114942528736,0.9885057471264368,1.0,1.0,0.8501368363437329,0.9689381499726327,1.0,0.985632183908046,0.9748749907765036,87
10,10,14,87,0.9540229885057471,1.0,1.0,1.0,0.8509031198686371,0.9614668856048166,1.0,0.975095785440613,0.9658570311727903,87
10,10,15,87,0.9540229885057471,1.0,1.0,1.0,0.8476464148877942,0.9559113300492611,1.0,0.9770114942528736,0.970089971291572,87
10,10,16,87,0.9655172413793104,1.0,1.0,1.0,0.8472632731253421,0.9605090311986864,1.0,0.9808429118773946,0.9671038171325484,87
10,10,17,87,0.9655172413793104,0.9885057471264368,1.0,1.0,0.8501368363437329,0.9607006020799125,1.0,0.9773946360153257,0.9679480921317419,87
10,10,18,87,0.9540229885057471,1.0,1.0,1.0,0.8725506294471812,0.9743021346469622,1.0,0.9770114942528736,0.9756290599432148,87
10,10,19,87,0.9540229885057471,1.0,1.0,1.0,0.8620142309797482,0.9624247400109469,1.0,0.975095785440613,0.970041856016785,87
50,50,0,87,0.9195402298850575,0.9770114942528736,0.9770114942528736,0.9885057471264368,0.7740831964969896,0.8472906403940886,0.9018062397372743,0.9441707717569786,0.8738646806698365,87
50,50,1,87,0.9310344827586207,0.9655172413793104,0.9655172413793104,1.0,0.7830870279146142,0.8382868089764641,0.9165571975916803,0.9499178981937603,0.8836510071482204,87
50,50,2,87,0.9195402298850575,0.9655172413793104,0.9885057471264368,1.0,0.7577996715927751,0.8430760810071155,0.9229885057471264,0.9482758620689655,0.885659446472083,87
50,50,3,87,0.896551724137931,0.9655172413793104,0.9885057471264368,0.9885057471264368,0.7510946907498631,0.8581007115489874,0.9000821018062397,0.9323754789272031,0.8688134780934349,87
50,50,4,87,0.9080459770114943,0.9770114942528736,0.9885057471264368,1.0,0.7744663382594417,0.8453749315818281,0.922112753147236,0.9441890166028097,0.8793996142014698,87
50,50,5,87,0.9195402298850575,0.9770114942528736,0.9885057471264368,1.0,0.7735084838533114,0.8492063492063492,0.9146414887794199,0.9520114942528736,0.8877454687423256,87
50,50,6,87,0.896551724137931,0.9885057471264368,0.9885057471264368,1.0,0.7836617405582923,0.8440339354132458,0.9146414887794199,0.941890166028097,0.8822388395387856,87
50,50,7,87,0.9195402298850575,0.9770114942528736,0.9885057471264368,1.0,0.7625889436234263,0.8539956212370006,0.8981663929939792,0.9468390804597702,0.8751646824521764,87
50,50,8,87,0.896551724137931,0.9885057471264368,0.9885057471264368,1.0,0.7782977558839628,0.8498631636562671,0.9146414887794199,0.9422550629447182,0.8816050922778608,87
50,50,9,87,0.8735632183908046,0.9540229885057471,0.9770114942528736,0.9885057471264368,0.7471538040503558,0.8370279146141215,0.9069786535303777,0.921455938697318,0.8672163171860302,87
50,50,10,87,0.9080459770114943,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.7708264915161467,0.8354132457580733,0.9192391899288451,0.946360153256705,0.8810676760209502,87
50,50,11,87,0.9310344827586207,0.9770114942528736,0.9885057471264368,0.9885057471264368,0.7712096332785988,0.8530377668308703,0.904679802955665,0.9549808429118773,0.8819404868143126,87
50,50,12,87,0.8735632183908046,0.9885057471264368,0.9885057471264368,1.0,0.789792008757526,0.8444170771756979,0.9169403393541324,0.9264367816091954,0.8722482006350013,87
50,50,13,87,0.896551724137931,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.7591406677613574,0.8376026272577997,0.8933771209633279,0.9367816091954023,0.8615043345844227,87
